,Time,1,2
S/N,,939300,939300
Type,,TGP-4520,TGP-4520
Description,,TT13,TT13
Property,,Black Probe Temperature,White Probe Temperature
253,2025-03-03 05:00:00,17.372 °C,17.366 °C
254,2025-03-03 05:10:00,17.370 °C,17.353 °C
255,2025-03-03 05:20:00,17.369 °C,17.349 °C
256,2025-03-03 05:30:00,17.368 °C,17.346 °C
257,2025-03-03 05:40:00,17.366 °C,17.333 °C
258,2025-03-03 05:50:00,17.363 °C,17.330 °C
259,2025-03-03 06:00:00,17.362 °C,17.324 °C
260,2025-03-03 06:10:00,17.366 °C,17.336 °C
261,2025-03-03 06:20:00,17.386 °C,17.447 °C
262,2025-03-03 06:30:00,17.435 °C,17.559 °C
263,2025-03-03 06:40:00,17.507 °C,17.669 °C
264,2025-03-03 06:50:00,17.610 °C,17.781 °C
265,2025-03-03 07:00:00,17.721 °C,17.887 °C
266,2025-03-03 07:10:00,17.834 °C,18.011 °C
267,2025-03-03 07:20:00,17.963 °C,18.156 °C
268,2025-03-03 07:30:00,18.103 °C,18.289 °C
269,2025-03-03 07:40:00,18.235 °C,18.434 °C
270,2025-03-03 07:50:00,18.365 °C,18.557 °C
271,2025-03-03 08:00:00,18.282 °C,18.058 °C
272,2025-03-03 08:10:00,17.979 °C,17.490 °C
273,2025-03-03 08:20:00,17.800 °C,17.543 °C
274,2025-03-03 08:30:00,17.778 °C,17.755 °C
275,2025-03-03 08:40:00,17.828 °C,17.946 °C
276,2025-03-03 08:50:00,17.917 °C,18.090 °C
277,2025-03-03 09:00:00,18.026 °C,18.232 °C
278,2025-03-03 09:10:00,18.166 °C,18.377 °C
279,2025-03-03 09:20:00,18.316 °C,18.514 °C
280,2025-03-03 09:30:00,18.463 °C,18.641 °C
281,2025-03-03 09:40:00,18.605 °C,18.794 °C
282,2025-03-03 09:50:00,18.750 °C,18.939 °C
283,2025-03-03 10:00:00,18.816 °C,18.962 °C
284,2025-03-03 10:10:00,18.902 °C,19.083 °C
285,2025-03-03 10:20:00,19.012 °C,19.199 °C
286,2025-03-03 10:30:00,19.113 °C,19.301 °C
287,2025-03-03 10:40:00,19.219 °C,19.406 °C
288,2025-03-03 10:50:00,19.307 °C,19.452 °C
289,2025-03-03 11:00:00,19.374 °C,19.542 °C
290,2025-03-03 11:10:00,19.439 °C,19.618 °C
291,2025-03-03 11:20:00,19.500 °C,19.664 °C
292,2025-03-03 11:30:00,19.554 °C,19.746 °C
293,2025-03-03 11:40:00,19.612 °C,19.816 °C
294,2025-03-03 11:50:00,19.658 °C,19.842 °C
295,2025-03-03 12:00:00,19.690 °C,19.870 °C
296,2025-03-03 12:10:00,19.717 °C,19.894 °C
297,2025-03-03 12:20:00,19.747 °C,19.934 °C
298,2025-03-03 12:30:00,19.788 °C,19.987 °C
299,2025-03-03 12:40:00,19.829 °C,20.022 °C
300,2025-03-03 12:50:00,19.851 °C,20.019 °C
301,2025-03-03 13:00:00,19.858 °C,20.010 °C
302,2025-03-03 13:10:00,19.859 °C,20.036 °C
303,2025-03-03 13:20:00,19.872 °C,20.062 °C
304,2025-03-03 13:30:00,19.881 °C,20.042 °C
305,2025-03-03 13:40:00,19.881 °C,20.023 °C
306,2025-03-03 13:50:00,19.877 °C,20.009 °C
307,2025-03-03 14:00:00,19.871 °C,19.995 °C
308,2025-03-03 14:10:00,19.862 °C,19.982 °C
309,2025-03-03 14:20:00,19.851 °C,19.930 °C
310,2025-03-03 14:30:00,19.819 °C,19.864 °C
311,2025-03-03 14:40:00,19.690 °C,19.399 °C
312,2025-03-03 14:50:00,19.429 °C,19.080 °C
313,2025-03-03 15:00:00,19.068 °C,18.623 °C
314,2025-03-03 15:10:00,18.787 °C,18.394 °C
315,2025-03-03 15:20:00,18.397 °C,18.160 °C
316,2025-03-03 15:30:00,18.235 °C,18.220 °C
317,2025-03-03 15:40:00,18.137 °C,18.227 °C
318,2025-03-03 15:50:00,18.095 °C,18.303 °C
319,2025-03-03 16:00:00,18.080 °C,18.345 °C
320,2025-03-03 16:10:00,18.080 °C,18.349 °C
321,2025-03-03 16:20:00,18.084 °C,18.357 °C
322,2025-03-03 16:30:00,18.098 °C,18.361 °C
323,2025-03-03 16:40:00,18.111 °C,18.364 °C
324,2025-03-03 16:50:00,18.123 °C,18.364 °C
325,2025-03-03 17:00:00,18.130 °C,18.357 °C
326,2025-03-03 17:10:00,18.125 °C,18.321 °C
327,2025-03-03 17:20:00,18.098 °C,18.266 °C
328,2025-03-03 17:30:00,18.058 °C,18.207 °C
329,2025-03-03 17:40:00,18.012 °C,18.157 °C
330,2025-03-03 17:50:00,17.963 °C,18.100 °C
331,2025-03-03 18:00:00,17.917 °C,18.044 °C
332,2025-03-03 18:10:00,17.870 °C,17.991 °C
333,2025-03-03 18:20:00,17.830 °C,17.952 °C
334,2025-03-03 18:30:00,17.795 °C,17.909 °C
335,2025-03-03 18:40:00,17.762 °C,17.877 °C
336,2025-03-03 18:50:00,17.729 °C,17.837 °C
337,2025-03-03 19:00:00,17.693 °C,17.795 °C
338,2025-03-03 19:10:00,17.546 °C,17.363 °C
339,2025-03-03 19:20:00,16.028 °C,15.360 °C
340,2025-03-03 19:30:00,15.619 °C,15.488 °C
341,2025-03-03 19:40:00,15.525 °C,15.821 °C
342,2025-03-03 19:50:00,15.574 °C,16.061 °C
343,2025-03-03 20:00:00,15.753 °C,16.280 °C
344,2025-03-03 20:10:00,15.950 °C,16.441 °C
345,2025-03-03 20:20:00,16.109 °C,16.557 °C
346,2025-03-03 20:30:00,16.224 °C,16.652 °C
347,2025-03-03 20:40:00,16.317 °C,16.731 °C
348,2025-03-03 20:50:00,16.389 °C,16.793 °C
349,2025-03-03 21:00:00,16.449 °C,16.850 °C
350,2025-03-03 21:10:00,16.510 °C,16.895 °C
351,2025-03-03 21:20:00,16.587 °C,17.007 °C
352,2025-03-03 21:30:00,16.725 °C,17.168 °C
353,2025-03-03 21:40:00,16.898 °C,17.293 °C
354,2025-03-03 21:50:00,17.054 °C,17.398 °C
355,2025-03-03 22:00:00,17.191 °C,17.492 °C
356,2025-03-03 22:10:00,17.309 °C,17.577 °C
357,2025-03-03 22:20:00,17.406 °C,17.646 °C
358,2025-03-03 22:30:00,17.488 °C,17.704 °C
359,2025-03-03 22:40:00,17.556 °C,17.751 °C
360,2025-03-03 22:50:00,17.612 °C,17.790 °C
361,2025-03-03 23:00:00,17.656 °C,17.820 °C
362,2025-03-03 23:10:00,17.693 °C,17.843 °C
363,2025-03-03 23:20:00,17.722 °C,17.860 °C
364,2025-03-03 23:30:00,17.747 °C,17.871 °C
365,2025-03-03 23:40:00,17.765 °C,17.880 °C
366,2025-03-03 23:50:00,17.781 °C,17.886 °C
367,2025-03-04 00:00:00,17.794 °C,17.887 °C
368,2025-03-04 00:10:00,17.801 °C,17.887 °C
369,2025-03-04 00:20:00,17.805 °C,17.883 °C
370,2025-03-04 00:30:00,17.808 °C,17.876 °C
371,2025-03-04 00:40:00,17.808 °C,17.867 °C
372,2025-03-04 00:50:00,17.804 °C,17.856 °C
373,2025-03-04 01:00:00,17.798 °C,17.843 °C
374,2025-03-04 01:10:00,17.793 °C,17.831 °C
375,2025-03-04 01:20:00,17.787 °C,17.817 °C
376,2025-03-04 01:30:00,17.778 °C,17.804 °C
377,2025-03-04 01:40:00,17.768 °C,17.788 °C
378,2025-03-04 01:50:00,17.758 °C,17.771 °C
379,2025-03-04 02:00:00,17.745 °C,17.755 °C
380,2025-03-04 02:10:00,17.732 °C,17.738 °C
381,2025-03-04 02:20:00,17.718 °C,17.719 °C
382,2025-03-04 02:30:00,17.704 °C,17.705 °C
383,2025-03-04 02:40:00,17.689 °C,17.688 °C
384,2025-03-04 02:50:00,17.675 °C,17.670 °C
385,2025-03-04 03:00:00,17.659 °C,17.653 °C
386,2025-03-04 03:10:00,17.643 °C,17.636 °C
387,2025-03-04 03:20:00,17.626 °C,17.616 °C
388,2025-03-04 03:30:00,17.610 °C,17.594 °C
389,2025-03-04 03:40:00,17.593 °C,17.574 °C
390,2025-03-04 03:50:00,17.579 °C,17.569 °C
391,2025-03-04 04:00:00,17.571 °C,17.574 °C
392,2025-03-04 04:10:00,17.571 °C,17.590 °C
393,2025-03-04 04:20:00,17.579 °C,17.607 °C
394,2025-03-04 04:30:00,17.589 °C,17.620 °C
395,2025-03-04 04:40:00,17.600 °C,17.630 °C
396,2025-03-04 04:50:00,17.609 °C,17.636 °C
397,2025-03-04 05:00:00,17.614 °C,17.642 °C
398,2025-03-04 05:10:00,17.622 °C,17.655 °C
399,2025-03-04 05:20:00,17.632 °C,17.668 °C
400,2025-03-04 05:30:00,17.640 °C,17.676 °C
401,2025-03-04 05:40:00,17.649 °C,17.679 °C
402,2025-03-04 05:50:00,17.653 °C,17.679 °C
403,2025-03-04 06:00:00,17.656 °C,17.681 °C
404,2025-03-04 06:10:00,17.659 °C,17.692 °C
405,2025-03-04 06:20:00,17.652 °C,17.702 °C
406,2025-03-04 06:30:00,17.681 °C,17.755 °C
407,2025-03-04 06:40:00,17.734 °C,17.824 °C
408,2025-03-04 06:50:00,17.820 °C,17.906 °C
409,2025-03-04 07:00:00,17.930 °C,18.014 °C
410,2025-03-04 07:10:00,18.049 °C,18.131 °C
411,2025-03-04 07:20:00,18.176 °C,18.272 °C
412,2025-03-04 07:30:00,18.321 °C,18.423 °C
413,2025-03-04 07:40:00,18.441 °C,18.565 °C
414,2025-03-04 07:50:00,18.536 °C,18.649 °C
415,2025-03-04 08:00:00,18.618 °C,18.738 °C
416,2025-03-04 08:10:00,18.730 °C,18.882 °C
417,2025-03-04 08:20:00,18.810 °C,18.890 °C
418,2025-03-04 08:30:00,16.452 °C,16.929 °C
419,2025-03-04 08:40:00,13.160 °C,14.634 °C
420,2025-03-04 08:50:00,9.581 °C,12.359 °C
421,2025-03-04 09:00:00,6.473 °C,10.751 °C
422,2025-03-04 09:10:00,3.630 °C,7.863 °C
423,2025-03-04 09:20:00,1.120 °C,5.963 °C
424,2025-03-04 09:30:00,-0.733 °C,4.377 °C
425,2025-03-04 09:40:00,-2.023 °C,2.955 °C
426,2025-03-04 09:50:00,-3.127 °C,1.509 °C
427,2025-03-04 10:00:00,-3.975 °C,0.287 °C
428,2025-03-04 10:10:00,-4.836 °C,-1.089 °C
429,2025-03-04 10:20:00,-5.577 °C,-2.236 °C
430,2025-03-04 10:30:00,-6.303 °C,-3.264 °C
431,2025-03-04 10:40:00,-7.240 °C,-4.097 °C
432,2025-03-04 10:50:00,-8.023 °C,-4.886 °C
433,2025-03-04 11:00:00,-8.745 °C,-5.660 °C
434,2025-03-04 11:10:00,-10.196 °C,-10.734 °C
435,2025-03-04 11:20:00,-10.588 °C,-10.766 °C
436,2025-03-04 11:30:00,-10.740 °C,-10.832 °C
437,2025-03-04 11:40:00,-10.806 °C,-10.911 °C
438,2025-03-04 11:50:00,-10.845 °C,-10.777 °C
439,2025-03-04 12:00:00,-10.864 °C,-10.730 °C
440,2025-03-04 12:10:00,-10.877 °C,-10.715 °C
441,2025-03-04 12:20:00,-10.883 °C,-10.711 °C
442,2025-03-04 12:30:00,-10.883 °C,-10.704 °C
443,2025-03-04 12:40:00,-10.890 °C,-10.728 °C
444,2025-03-04 12:50:00,-10.873 °C,-10.843 °C
445,2025-03-04 13:00:00,-10.954 °C,-11.009 °C
446,2025-03-04 13:10:00,-12.181 °C,-12.481 °C
447,2025-03-04 13:20:00,-6.014 °C,-6.352 °C
448,2025-03-04 13:30:00,-5.974 °C,-6.354 °C
449,2025-03-04 13:40:00,-5.965 °C,-6.354 °C
450,2025-03-04 13:50:00,-5.963 °C,-6.360 °C
451,2025-03-04 14:00:00,-5.963 °C,-6.368 °C
452,2025-03-04 14:10:00,-5.961 °C,-6.379 °C
453,2025-03-04 14:20:00,-5.961 °C,-6.392 °C
454,2025-03-04 14:30:00,-5.961 °C,-6.410 °C
455,2025-03-04 14:40:00,-5.961 °C,-6.427 °C
456,2025-03-04 14:50:00,-5.963 °C,-6.444 °C
457,2025-03-04 15:00:00,-5.963 °C,-6.463 °C
458,2025-03-04 15:10:00,-5.965 °C,-6.484 °C
459,2025-03-04 15:20:00,-5.963 °C,-6.505 °C
460,2025-03-04 15:30:00,-5.965 °C,-6.526 °C
461,2025-03-04 15:40:00,-5.965 °C,-6.549 °C
462,2025-03-04 15:50:00,-5.967 °C,-6.570 °C
463,2025-03-04 16:00:00,-5.969 °C,-6.591 °C
464,2025-03-04 16:10:00,-5.969 °C,-6.614 °C
465,2025-03-04 16:20:00,-5.973 °C,-6.635 °C
