	Time	1	2
S/N		946487	946487
Type		TGP-4520	TGP-4520
Description		TT14	TT14
Property		Black Probe Temperature	White Probe Temperature
226	3 mar 2025 00:30	-6.210 °C	-6.096 °C
227	3 mar 2025 00:40	-6.210 °C	-6.096 °C
228	3 mar 2025 00:50	-6.210 °C	-6.096 °C
229	3 mar 2025 01:00	-6.210 °C	-6.096 °C
230	3 mar 2025 01:10	-6.210 °C	-6.096 °C
231	3 mar 2025 01:20	-6.210 °C	-6.096 °C
232	3 mar 2025 01:30	-6.210 °C	-6.096 °C
233	3 mar 2025 01:40	-6.210 °C	-6.096 °C
234	3 mar 2025 01:50	-6.208 °C	-6.096 °C
235	3 mar 2025 02:00	-6.208 °C	-6.096 °C
236	3 mar 2025 02:10	-6.208 °C	-6.096 °C
237	3 mar 2025 02:20	-6.208 °C	-6.092 °C
238	3 mar 2025 02:30	-6.208 °C	-6.096 °C
239	3 mar 2025 02:40	-6.208 °C	-6.096 °C
240	3 mar 2025 02:50	-6.208 °C	-6.096 °C
241	3 mar 2025 03:00	-6.208 °C	-6.096 °C
242	3 mar 2025 03:10	-6.208 °C	-6.096 °C
243	3 mar 2025 03:20	-6.208 °C	-6.096 °C
244	3 mar 2025 03:30	-6.208 °C	-6.096 °C
245	3 mar 2025 03:40	-6.208 °C	-6.096 °C
246	3 mar 2025 03:50	-6.208 °C	-6.098 °C
247	3 mar 2025 04:00	-6.208 °C	-6.098 °C
248	3 mar 2025 04:10	-6.208 °C	-6.098 °C
249	3 mar 2025 04:20	-6.208 °C	-6.096 °C
250	3 mar 2025 04:30	-6.208 °C	-6.098 °C
251	3 mar 2025 04:40	-6.206 °C	-6.098 °C
252	3 mar 2025 04:50	-6.208 °C	-6.098 °C
253	3 mar 2025 05:00	-6.208 °C	-6.098 °C
254	3 mar 2025 05:10	-6.208 °C	-6.098 °C
255	3 mar 2025 05:20	-6.208 °C	-6.098 °C
256	3 mar 2025 05:30	-6.208 °C	-6.098 °C
257	3 mar 2025 05:40	-6.206 °C	-6.098 °C
258	3 mar 2025 05:50	-6.206 °C	-6.098 °C
259	3 mar 2025 06:00	-6.208 °C	-6.098 °C
260	3 mar 2025 06:10	-6.206 °C	-6.098 °C
261	3 mar 2025 06:20	-6.206 °C	-6.098 °C
262	3 mar 2025 06:30	-6.206 °C	-6.098 °C
263	3 mar 2025 06:40	-6.206 °C	-6.098 °C
264	3 mar 2025 06:50	-6.206 °C	-6.098 °C
265	3 mar 2025 07:00	-6.204 °C	-6.098 °C
266	3 mar 2025 07:10	-6.206 °C	-6.098 °C
267	3 mar 2025 07:20	-6.206 °C	-6.098 °C
268	3 mar 2025 07:30	-6.206 °C	-6.098 °C
